Epoch: [0][1160/1333], lr: 0.0002500	Time 1.887 (2.026)	Loss 4.6694 (4.6946)	Loss_h 4.7091 (4.6804)	Prec@1 0.000 (1.447)	
Epoch: [0][1180/1333], lr: 0.0002500	Time 2.523 (2.028)	Loss 4.6974 (4.6947)	Loss_h 4.6996 (4.6807)	Prec@1 0.000 (1.421)	
Epoch: [0][1200/1333], lr: 0.0002500	Time 2.109 (2.026)	Loss 4.7419 (4.6954)	Loss_h 4.7285 (4.6814)	Prec@1 0.000 (1.391)	
Epoch: [0][1240/1333], lr: 0.0002500	Time 1.542 (2.029)	Loss 4.6200 (4.6957)	Loss_h 4.7301 (4.6822)	Prec@1 0.000 (1.340)	
Epoch: [0][1280/1333], lr: 0.0002500	Time 1.924 (2.030)	Loss 4.7697 (4.6961)	Loss_h 4.6626 (4.6831)	Prec@1 0.000 (1.303)	
Epoch: [0][1300/1333], lr: 0.0002500	Time 2.086 (2.029)	Loss 4.7543 (4.6963)	Loss_h 4.7120 (4.6836)	Prec@1 0.000 (1.286)	
Test: [40/457]	Time 1.767 (2.083)	Loss 5.1530 (4.8340)	Prec@1 0.000 (0.000)	Prec@5 0.000 (5.263)
Test: [100/457]	Time 1.885 (2.020)	Loss 4.6489 (4.8060)	Prec@1 0.000 (0.000)	Prec@5 0.000 (4.348)
Test: [120/457]	Time 1.992 (1.989)	Loss 4.4754 (4.7884)	Prec@1 0.000 (0.000)	Prec@5 0.000 (5.357)
Test: [140/457]	Time 1.532 (1.944)	Loss 4.5761 (4.7534)	Prec@1 0.000 (0.000)	Prec@5 0.000 (7.463)
Test: [160/457]	Time 1.532 (1.921)	Loss 4.5032 (4.7260)	Prec@1 0.000 (2.632)	Prec@5 100.000 (11.842)
Test: [200/457]	Time 1.866 (1.912)	Loss 4.3933 (4.7214)	Prec@1 0.000 (4.301)	Prec@5 100.000 (13.978)
Test: [300/457]	Time 1.670 (1.958)	Loss 4.7029 (4.7176)	Prec@1 0.000 (2.759)	Prec@5 0.000 (11.724)
Test: [320/457]	Time 1.776 (1.948)	Loss 4.6415 (4.7168)	Prec@1 0.000 (2.581)	Prec@5 0.000 (10.968)
Test: [340/457]	Time 2.143 (1.945)	Loss 4.6514 (4.7197)	Prec@1 0.000 (2.439)	Prec@5 0.000 (10.366)
Test: [380/457]	Time 1.562 (1.931)	Loss 4.7122 (4.7150)	Prec@1 0.000 (2.162)	Prec@5 0.000 (9.730)
Test: [420/457]	Time 1.893 (1.925)	Loss 4.6120 (4.7092)	Prec@1 0.000 (1.970)	Prec@5 0.000 (9.360)
Test: [440/457]	Time 1.773 (1.914)	Loss 4.6566 (4.7075)	Prec@1 0.000 (1.887)	Prec@5 0.000 (8.962)
Testing Results: Prec@1 1.818 Prec@5 9.091 Loss 4.70714
Best Prec@1: 1.818

Epoch: [1][20/1333], lr: 0.0002500	Time 2.137 (2.074)	Loss 4.8051 (4.7952)	Loss_h 4.7045 (4.6976)	Prec@1 0.000 (0.000)	
Epoch: [1][40/1333], lr: 0.0002500	Time 2.127 (1.985)	Loss 4.0985 (4.6330)	Loss_h 4.4869 (4.6326)	Prec@1 0.000 (0.000)	
Epoch: [1][160/1333], lr: 0.0002500	Time 1.982 (2.022)	Loss 5.1717 (3.9761)	Loss_h 4.6910 (4.5898)	Prec@1 0.000 (4.348)	
Epoch: [1][200/1333], lr: 0.0002500	Time 2.174 (2.000)	Loss 3.4085 (4.0127)	Loss_h 4.6904 (4.6114)	Prec@1 0.000 (3.371)	
Epoch: [1][220/1333], lr: 0.0002500	Time 2.083 (1.983)	Loss 6.7833 (3.9931)	Loss_h 4.6673 (4.6119)	Prec@1 0.000 (4.950)	
Epoch: [1][240/1333], lr: 0.0002500	Time 1.528 (1.994)	Loss 4.2821 (4.1193)	Loss_h 4.5083 (4.6206)	Prec@1 0.000 (4.505)	
Epoch: [1][260/1333], lr: 0.0002500	Time 1.964 (2.007)	Loss 3.9582 (4.1391)	Loss_h 3.8945 (4.6016)	Prec@1 0.000 (4.167)	
Epoch: [1][300/1333], lr: 0.0002500	Time 1.734 (2.023)	Loss 4.8216 (4.1121)	Loss_h 4.8307 (4.5191)	Prec@1 0.000 (4.317)	
Epoch: [1][340/1333], lr: 0.0002500	Time 1.511 (2.013)	Loss 3.8953 (4.1221)	Loss_h 3.8755 (4.5088)	Prec@1 0.000 (4.082)	
Epoch: [1][360/1333], lr: 0.0002500	Time 2.543 (2.030)	Loss 3.0585 (4.0802)	Loss_h 2.8534 (4.4248)	Prec@1 0.000 (3.681)	
Epoch: [1][380/1333], lr: 0.0002500	Time 1.551 (2.009)	Loss 4.7166 (4.0743)	Loss_h 4.4674 (4.3915)	Prec@1 0.000 (3.409)	
Epoch: [1][440/1333], lr: 0.0002500	Time 1.849 (1.974)	Loss 4.7695 (4.1308)	Loss_h 4.7526 (4.4185)	Prec@1 0.000 (3.846)	
Epoch: [1][460/1333], lr: 0.0002500	Time 1.873 (1.971)	Loss 3.9946 (4.1302)	Loss_h 4.5347 (4.4206)	Prec@1 0.000 (3.721)	
Epoch: [1][480/1333], lr: 0.0002500	Time 1.585 (1.964)	Loss 2.1750 (4.0922)	Loss_h 3.6753 (4.4070)	Prec@1 100.000 (4.464)	
Epoch: [1][500/1333], lr: 0.0002500	Time 1.605 (1.967)	Loss 8.0508 (4.0575)	Loss_h 3.3584 (4.3614)	Prec@1 0.000 (5.983)	
Epoch: [1][560/1333], lr: 0.0002500	Time 1.626 (1.982)	Loss 3.2281 (3.9995)	Loss_h 2.0233 (4.1916)	Prec@1 0.000 (6.084)	
Epoch: [1][640/1333], lr: 0.0002500	Time 2.001 (2.016)	Loss 5.0436 (4.0272)	Loss_h 4.8625 (4.2001)	Prec@1 0.000 (5.960)	
Epoch: [1][660/1333], lr: 0.0002500	Time 1.518 (2.012)	Loss 4.4463 (4.0388)	Loss_h 4.5540 (4.2058)	Prec@1 0.000 (5.769)	
Epoch: [1][700/1333], lr: 0.0002500	Time 2.630 (2.019)	Loss 4.2043 (4.0681)	Loss_h 4.1947 (4.2285)	Prec@1 0.000 (5.689)	
Epoch: [1][720/1333], lr: 0.0002500	Time 2.194 (2.025)	Loss 5.1020 (4.0914)	Loss_h 5.0872 (4.2444)	Prec@1 0.000 (5.764)	
Epoch: [1][740/1333], lr: 0.0002500	Time 2.319 (2.024)	Loss 4.3924 (4.1018)	Loss_h 4.3621 (4.2516)	Prec@1 0.000 (5.634)	
Epoch: [1][800/1333], lr: 0.0002500	Time 2.279 (2.022)	Loss 4.7715 (4.1403)	Loss_h 4.7315 (4.2808)	Prec@1 0.000 (5.236)	
Epoch: [1][820/1333], lr: 0.0002500	Time 2.082 (2.022)	Loss 4.9097 (4.1482)	Loss_h 4.8245 (4.2861)	Prec@1 0.000 (5.141)	
Epoch: [1][900/1333], lr: 0.0002500	Time 1.747 (2.027)	Loss 4.7631 (4.1845)	Loss_h 4.7830 (4.3114)	Prec@1 0.000 (4.695)	
Epoch: [1][940/1333], lr: 0.0002500	Time 1.955 (2.024)	Loss 4.0506 (4.2046)	Loss_h 4.1346 (4.3261)	Prec@1 100.000 (4.688)	
Epoch: [1][980/1333], lr: 0.0002500	Time 1.989 (2.034)	Loss 4.7380 (4.2197)	Loss_h 4.7576 (4.3370)	Prec@1 0.000 (4.516)	
Epoch: [1][1000/1333], lr: 0.0002500	Time 1.578 (2.032)	Loss 3.8892 (4.2260)	Loss_h 3.9273 (4.3418)	Prec@1 0.000 (4.449)	
Epoch: [1][1020/1333], lr: 0.0002500	Time 2.240 (2.031)	Loss 4.6350 (4.2348)	Loss_h 4.6670 (4.3488)	Prec@1 0.000 (4.348)	
Epoch: [1][1040/1333], lr: 0.0002500	Time 1.525 (2.027)	Loss 4.7784 (4.2453)	Loss_h 4.7817 (4.3567)	Prec@1 0.000 (4.268)	
Epoch: [1][1060/1333], lr: 0.0002500	Time 2.004 (2.031)	Loss 4.2450 (4.2528)	Loss_h 4.3087 (4.3619)	Prec@1 0.000 (4.183)	
Epoch: [1][1100/1333], lr: 0.0002500	Time 2.384 (2.039)	Loss 4.6064 (4.2680)	Loss_h 4.5878 (4.3737)	Prec@1 0.000 (4.008)	
Epoch: [1][1120/1333], lr: 0.0002500	Time 2.200 (2.036)	Loss 4.4947 (4.2747)	Loss_h 4.5353 (4.3792)	Prec@1 0.000 (3.940)	
Epoch: [1][1160/1333], lr: 0.0002500	Time 3.244 (2.078)	Loss 4.4099 (4.2856)	Loss_h 4.5383 (4.3886)	Prec@1 0.000 (3.797)	
Epoch: [1][1180/1333], lr: 0.0002500	Time 4.748 (2.096)	Loss 4.8017 (4.2898)	Loss_h 4.8249 (4.3921)	Prec@1 0.000 (3.730)	
Epoch: [1][1200/1333], lr: 0.0002500	Time 4.191 (2.114)	Loss 4.7350 (4.2964)	Loss_h 4.8269 (4.3985)	Prec@1 0.000 (3.652)	
Epoch: [1][1240/1333], lr: 0.0002500	Time 3.066 (2.155)	Loss 3.9217 (4.3019)	Loss_h 4.9227 (4.4076)	Prec@1 0.000 (3.518)	
Epoch: [1][1280/1333], lr: 0.0002500	Time 2.534 (2.178)	Loss 4.6898 (4.3106)	Loss_h 4.6258 (4.4157)	Prec@1 0.000 (3.420)	
Epoch: [1][1300/1333], lr: 0.0002500	Time 3.266 (2.188)	Loss 4.7438 (4.3154)	Loss_h 4.7701 (4.4192)	Prec@1 0.000 (3.376)	
Test: [40/457]	Time 3.734 (3.175)	Loss 6.0464 (5.4170)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
