Epoch: [1][420/1333], lr: 0.0002500	Time 2.438 (2.088)	Loss 2.2640 (3.6142)	Loss_h 4.7332 (3.9072)	Prec@1 0.000 (8.108)	
Epoch: [1][460/1333], lr: 0.0002500	Time 1.863 (2.073)	Loss 4.3986 (3.5916)	Loss_h 4.2405 (3.9396)	Prec@1 0.000 (8.805)	
Epoch: [1][480/1333], lr: 0.0002500	Time 1.616 (2.063)	Loss 3.4922 (3.6408)	Loss_h 4.5955 (3.9688)	Prec@1 0.000 (8.284)	
Epoch: [1][500/1333], lr: 0.0002500	Time 1.541 (2.074)	Loss 1.5407 (3.5979)	Loss_h 4.3898 (4.0047)	Prec@1 100.000 (8.840)	
Epoch: [1][600/1333], lr: 0.0002500	Time 1.690 (2.062)	Loss 3.5980 (3.3957)	Loss_h 4.4343 (4.1042)	Prec@1 0.000 (10.573)	
Epoch: [1][620/1333], lr: 0.0002500	Time 1.898 (2.067)	Loss 3.0729 (3.3753)	Loss_h 4.5937 (4.1220)	Prec@1 0.000 (10.549)	
Epoch: [1][660/1333], lr: 0.0002500	Time 1.539 (2.064)	Loss 3.2586 (3.3871)	Loss_h 4.5033 (4.1337)	Prec@1 0.000 (10.331)	
Epoch: [1][700/1333], lr: 0.0002500	Time 2.673 (2.068)	Loss 4.6918 (3.4298)	Loss_h 4.7472 (4.1567)	Prec@1 0.000 (9.766)	
Epoch: [1][740/1333], lr: 0.0002500	Time 2.677 (2.064)	Loss 4.6332 (3.4988)	Loss_h 4.5171 (4.1960)	Prec@1 0.000 (8.993)	
Epoch: [1][880/1333], lr: 0.0002500	Time 1.734 (2.083)	Loss 4.3058 (3.6170)	Loss_h 4.0623 (4.2344)	Prec@1 0.000 (7.886)	
Epoch: [1][940/1333], lr: 0.0002500	Time 2.226 (2.070)	Loss 4.3740 (3.6596)	Loss_h 4.3819 (4.2429)	Prec@1 0.000 (7.715)	
Epoch: [1][1060/1333], lr: 0.0002500	Time 1.891 (2.052)	Loss 3.8916 (3.7160)	Loss_h 4.5391 (4.2506)	Prec@1 0.000 (7.853)	
Epoch: [1][1280/1333], lr: 0.0002500	Time 1.908 (2.043)	Loss 3.6914 (3.8038)	Loss_h 4.4592 (4.2864)	Prec@1 0.000 (7.547)	
Test: [40/457]	Time 1.711 (1.977)	Loss 7.0572 (5.8684)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [100/457]	Time 2.153 (2.008)	Loss 3.9568 (5.4734)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [140/457]	Time 1.830 (2.038)	Loss 5.0182 (5.2088)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [180/457]	Time 2.418 (2.070)	Loss 5.9419 (5.2296)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [240/457]	Time 2.325 (2.062)	Loss 6.1636 (5.4665)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [320/457]	Time 2.088 (2.022)	Loss 5.3032 (5.4544)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.813)
Test: [380/457]	Time 1.521 (2.001)	Loss 5.6037 (5.2668)	Prec@1 0.000 (0.000)	Prec@5 0.000 (3.333)
Test: [420/457]	Time 1.652 (1.984)	Loss 3.8350 (5.2348)	Prec@1 0.000 (0.000)	Prec@5 0.000 (3.106)
Testing Results: Prec@1 0.000 Prec@5 4.706 Loss 5.15727
Best Prec@1: 0.000

Epoch: [2][20/1333], lr: 0.0002500	Time 2.101 (1.955)	Loss 4.7146 (4.7548)	Loss_h 4.9856 (4.9059)	Prec@1 0.000 (0.000)	
Epoch: [2][60/1333], lr: 0.0002500	Time 1.654 (2.047)	Loss 3.9844 (4.3591)	Loss_h 3.9639 (4.6165)	Prec@1 0.000 (0.000)	
Epoch: [2][220/1333], lr: 0.0002500	Time 2.100 (2.017)	Loss 3.9243 (3.6320)	Loss_h 4.7656 (4.0894)	Prec@1 0.000 (6.494)	
Epoch: [2][260/1333], lr: 0.0002500	Time 1.991 (2.013)	Loss 3.5402 (3.5989)	Loss_h 3.8553 (4.1413)	Prec@1 0.000 (6.593)	
Epoch: [2][300/1333], lr: 0.0002500	Time 1.770 (2.039)	Loss 3.2567 (3.3936)	Loss_h 4.0589 (4.0981)	Prec@1 0.000 (15.455)	
Epoch: [2][320/1333], lr: 0.0002500	Time 2.671 (2.044)	Loss 1.0679 (3.3828)	Loss_h 3.3496 (4.0875)	Prec@1 100.000 (16.071)	
Epoch: [2][420/1333], lr: 0.0002500	Time 2.105 (1.999)	Loss 1.1138 (3.0956)	Loss_h 4.8494 (3.8628)	Prec@1 0.000 (19.595)	
Epoch: [2][460/1333], lr: 0.0002500	Time 1.893 (1.991)	Loss 3.8241 (3.0105)	Loss_h 3.8939 (3.8998)	Prec@1 0.000 (20.126)	
Epoch: [2][480/1333], lr: 0.0002500	Time 1.642 (1.980)	Loss 0.7645 (2.9844)	Loss_h 3.9014 (3.9264)	Prec@1 100.000 (20.118)	
Epoch: [2][500/1333], lr: 0.0002500	Time 1.772 (1.998)	Loss 3.0452 (2.9147)	Loss_h 4.5474 (3.9487)	Prec@1 0.000 (21.547)	
Epoch: [2][600/1333], lr: 0.0002500	Time 1.638 (2.036)	Loss 4.5991 (2.9360)	Loss_h 4.5796 (4.1795)	Prec@1 0.000 (20.705)	
Epoch: [2][620/1333], lr: 0.0002500	Time 1.874 (2.039)	Loss 4.1790 (2.8947)	Loss_h 4.4025 (4.1893)	Prec@1 0.000 (21.941)	
Epoch: [2][660/1333], lr: 0.0002500	Time 1.557 (2.039)	Loss 1.4714 (2.8941)	Loss_h 4.5805 (4.2036)	Prec@1 100.000 (22.314)	
Epoch: [2][700/1333], lr: 0.0002500	Time 2.645 (2.043)	Loss 4.6944 (2.8693)	Loss_h 4.9722 (4.2272)	Prec@1 0.000 (22.266)	
Epoch: [2][740/1333], lr: 0.0002500	Time 2.314 (2.047)	Loss 3.6337 (2.8301)	Loss_h 4.4783 (4.2572)	Prec@1 0.000 (21.942)	
Epoch: [2][880/1333], lr: 0.0002500	Time 1.746 (2.054)	Loss 3.6786 (2.8583)	Loss_h 3.6923 (4.2513)	Prec@1 0.000 (20.820)	
Epoch: [2][940/1333], lr: 0.0002500	Time 1.996 (2.048)	Loss 2.6618 (2.8852)	Loss_h 3.4148 (4.2163)	Prec@1 100.000 (20.475)	
Epoch: [2][1060/1333], lr: 0.0002500	Time 1.629 (2.037)	Loss 1.8679 (2.9104)	Loss_h 3.4711 (4.1993)	Prec@1 100.000 (19.372)	
Epoch: [2][1280/1333], lr: 0.0002500	Time 1.870 (2.022)	Loss 1.8113 (2.9210)	Loss_h 4.2477 (4.1452)	Prec@1 0.000 (20.335)	
Test: [40/457]	Time 1.726 (1.971)	Loss 8.2590 (6.5601)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [100/457]	Time 2.186 (1.926)	Loss 5.2417 (7.1365)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
